RegionName;NavigationChain;Name;Price;OldPrice;Availability;ProductUrl;ImageUrl
Санкт-Петербург;"Главная/Каталог продукции/Товары для школы/Книги/Книги PR001 Книга ""Раскраска""/";"Книги PR001 Книга ""Раскраска""";29;59;В наличии;https://www.toy.ru/catalog/knigi/knigi_pr001_kniga_raskraska/;
Санкт-Петербург;Главная/Каталог продукции/Распродажа игрушек для детей /Ликвидация товара/Paw Patrol 16605 Щенячий патруль Машинка спасателя (в ассортименте)/;Paw Patrol 16605 Щенячий патруль Машинка спасателя (в ассортименте);597;929;В наличии;https://www.toy.ru/catalog/igrushki_so_skidkoy/paw_patrol_16605_shchenyachiy_patrul_inertsionnaya_mashinka_spasatelya/;"https://cdn.toy.ru/upload/iblock/2b5/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/dce/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/6b4/2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/e49/778988239728_20075006_rescue-racer_apollo-super-pup_vn_m11_gbl_product_2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/474/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/1cf/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_4.jpeg?_cvc=1694840160;https://i.ytimg.com/vi/Qj5TmJbQhAU/mqdefault.jpg;https://cdn.toy.ru/upload/resize_cache/iblock/2b5/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/dce/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/6b4/80_80_10240811ca8906714d1a9f41f2f5b358d/2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/e49/80_80_10240811ca8906714d1a9f41f2f5b358d/778988239728_20075006_rescue-racer_apollo-super-pup_vn_m11_gbl_product_2.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/474/80_80_10240811ca8906714d1a9f41f2f5b358d/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_2.jpeg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/1cf/80_80_10240811ca8906714d1a9f41f2f5b358d/4e44ccd9_aff8_11e3_9d8f_002655824cb616605_4.jpeg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Спецтехника /Wow Wee 5569 Power Treads Вездеход с автотреком/;Wow Wee 5569 Power Treads Вездеход с автотреком;4599;5119;В наличии;https://www.toy.ru/catalog/toys-spetstekhnika/wow_wee_5569_power_treads_vezdekhod_s_avtotrekom/;"https://cdn.toy.ru/upload/iblock/503/81ufxnehcjl._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/a90/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/79a/61grl_o_w6l._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/961/71qaofelkll._ac_sl1500_.jpg?_cvc=1694840160;https://i.ytimg.com/vi/5mDxaaI5AbI/maxresdefault.jpg;https://cdn.toy.ru/upload/resize_cache/iblock/503/80_80_10240811ca8906714d1a9f41f2f5b358d/81ufxnehcjl._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/a90/80_80_10240811ca8906714d1a9f41f2f5b358d/1.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/79a/80_80_10240811ca8906714d1a9f41f2f5b358d/61grl_o_w6l._ac_sl1500_.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/961/80_80_10240811ca8906714d1a9f41f2f5b358d/71qaofelkll._ac_sl1500_.jpg?_cvc=1694840160;"
Санкт-Петербург;"Главная/Каталог продукции/Транспорт/Коллекционные машинки/Модели российских автомобилей/Welly 43727RY Велли Модель машины 1:34-39 LADA Vesta ""Спорт""/";"Welly 43727RY Велли Модель машины 1:34-39 LADA Vesta ""Спорт""";389;0;В наличии;https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_43727ry_velli_model_mashiny_1_34_39_lada_vesta_sport/;"https://cdn.toy.ru/upload/iblock/dc7/43727ry.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/dc7/80_80_10240811ca8906714d1a9f41f2f5b358d/43727ry.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Коллекционные машинки/Коллекционные машинки/Welly 47002S Велли Модель машины 1:34-39 Chevrolet Tahoe Big Wheel Monster/;Welly 47002S Велли Модель машины 1:34-39 Chevrolet Tahoe Big Wheel Monster;749;0;В наличии;https://www.toy.ru/catalog/modeli_mashin/welly_47002s_velli_model_mashiny_1_34_39_chevrolet_tahoe_big_wheel_monster/;"https://cdn.toy.ru/upload/iblock/7df/47002s.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/7df/80_80_10240811ca8906714d1a9f41f2f5b358d/47002s.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Коллекционные машинки/Коллекционные машинки/Welly 43763FS Велли Модель машины 1:34-39 LADA VESTA SW CROSS Пожарная охрана/;Welly 43763FS Велли Модель машины 1:34-39 LADA VESTA SW CROSS Пожарная охрана;459;0;В наличии;https://www.toy.ru/catalog/modeli_mashin/welly_43763fs_velli_model_mashiny_1_34_39_lada_vesta_sw_cross_pozharnaya_okhrana/;"https://cdn.toy.ru/upload/iblock/3eb/43763fs_3.png?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/717/43763fs.png?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/69f/43763fs_2.png?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/3eb/80_80_10240811ca8906714d1a9f41f2f5b358d/43763fs_3.png?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/717/80_80_10240811ca8906714d1a9f41f2f5b358d/43763fs.png?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/69f/80_80_10240811ca8906714d1a9f41f2f5b358d/43763fs_2.png?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Коллекционные машинки/Коллекционные машинки/Wincars YK-2208 Машинка с большими колёсами инерционная металлическая 10 см, (в ассортименте)/;Wincars YK-2208 Машинка с большими колёсами инерционная металлическая 10 см, (в ассортименте);459;0;В наличии;https://www.toy.ru/catalog/modeli_mashin/wincars_yk_2208_mashinka_s_bolshimi_kolyesami_inertsionnaya_metallicheskaya_10_sm_v_assortimente/;"https://cdn.toy.ru/upload/iblock/3d1/yk_2208.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/3d1/80_80_10240811ca8906714d1a9f41f2f5b358d/yk_2208.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Коллекционные машинки/Коллекционные машинки/Welly 99191 Велли Военный автомобиль/;Welly 99191 Велли Военный автомобиль;419;0;В наличии;https://www.toy.ru/catalog/modeli_mashin/welly_99191_velli_voennyy_avtomobil/;"https://cdn.toy.ru/upload/iblock/876/99191.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/876/80_80_10240811ca8906714d1a9f41f2f5b358d/99191.jpg?_cvc=1694840160;"
Санкт-Петербург;Главная/Каталог продукции/Транспорт/Коллекционные машинки/Коллекционные машинки/Hasbro Nerf Nitro C0774 Нерф Нитро машинки 3 шт/;Hasbro Nerf Nitro C0774 Нерф Нитро машинки 3 шт;1079;0;В наличии;https://www.toy.ru/catalog/modeli_mashin/hasbro_nerf_nitro_c0774_nerf_nitro_mashinki_3_sht/;"https://cdn.toy.ru/upload/iblock/bb8/fdkfk.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/ecf/58f7ba5270409.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/18a/58f7ba533c99e.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/f0a/877bf764e446504c0ca5700f8c1c630e2b84192f.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/f66/pc0774has_133475_f3f_1_1_166927.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/bb8/80_80_10240811ca8906714d1a9f41f2f5b358d/fdkfk.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/ecf/80_80_10240811ca8906714d1a9f41f2f5b358d/58f7ba5270409.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/18a/80_80_10240811ca8906714d1a9f41f2f5b358d/58f7ba533c99e.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/f0a/80_80_10240811ca8906714d1a9f41f2f5b358d/877bf764e446504c0ca5700f8c1c630e2b84192f.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/f66/80_80_10240811ca8906714d1a9f41f2f5b358d/pc0774has_133475_f3f_1_1_166927.jpg?_cvc=1694840160;"
Санкт-Петербург;"Главная/Каталог продукции/Транспорт/Автотреки и машинки Hot Wheels/Mattel Hot Wheels FDY11 Хот Вилс Дополнительные детали для ""Умная"" трасса с Р/У машинками/";"Mattel Hot Wheels FDY11 Хот Вилс Дополнительные детали для ""Умная"" трасса с Р/У машинками";5369;0;В наличии;https://www.toy.ru/catalog/toys-avtotreki/mattel_hot_wheels_fdy11_khot_vils_dopolnitelnye_detali_dlya_umnaya_trassa_s_r_u_mashinkami/;"https://cdn.toy.ru/upload/iblock/fd2/fkd.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/d66/hot_wheels_ai_racing_tracks_expansion_playset_6769e9ee.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/057/6769e9ee.pt03.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/iblock/d39/hot_wheels_ai_racing_tracks_expansion_playset_6769e9ee.pt01.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/fd2/80_80_10240811ca8906714d1a9f41f2f5b358d/fkd.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/d66/80_80_10240811ca8906714d1a9f41f2f5b358d/hot_wheels_ai_racing_tracks_expansion_playset_6769e9ee.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/057/80_80_10240811ca8906714d1a9f41f2f5b358d/6769e9ee.pt03.jpg?_cvc=1694840160;https://cdn.toy.ru/upload/resize_cache/iblock/d39/80_80_10240811ca8906714d1a9f41f2f5b358d/hot_wheels_ai_racing_tracks_expansion_playset_6769e9ee.pt01.jpg?_cvc=1694840160;"
